session_id,condition,b_value,draw_outcome,final_cash,initial_belief,final_belief,risk_tolerance,trading_experience_months,pm_familiarity,field,comprehension_attempts,n_trades,n_passes,mean_trade_size,n_buy_yes,n_buy_no,final_price,mse,final_err,conv_round_5cent,converged_5cent
BQQQ,low,10,red,17.19,70,70,4,0,False,Computer Science,1,7,18,4.142857142857143,3,4,62.2,0.004776559999999999,0.07799999999999996,26,False
CDTQ,high,100,red,20.35,30,53,3,0,False,Computer Science,2,8,17,2.125,5,3,52.7,0.030465159999999974,0.17299999999999993,26,False
CQJQ,low,10,red,19.52,70,70,2,2,True,Computer Science,1,13,12,1.9230769230769231,10,3,78.6,0.014783679999999995,0.08599999999999997,26,False
CYDT,low,10,red,20.66,70,70,4,0,False,Computer Science,1,7,18,2.857142857142857,7,0,88.1,0.027956559999999978,0.18099999999999994,26,False
FGHN,high,100,red,10.4,70,70,3,0,False,Computer Science,1,3,22,9.666666666666666,1,2,47.8,0.03999635999999998,0.22199999999999998,26,False
FMBM,low,10,red,4.09,70,70,5,0,False,Computer Science,1,3,22,8.0,1,2,16.8,0.2778968799999999,0.5319999999999999,26,False
FZFH,high,100,blue,0.03,70,70,5,0,False,Computer Science,3,7,18,4.0,7,0,57.0,0.01981984,0.13,26,False
GBNS,low,10,red,19.06,70,40,2,0,False,Computer Science,1,5,20,5.4,3,2,75.0,0.0038145600000000046,0.050000000000000044,5,True
HCMH,low,10,blue,10.22,70,70,4,0,False,Computer Science,1,3,22,6.0,2,1,69.0,0.0003738,0.010000000000000009,3,True
JHQM,high,100,red,23.6,70,55,2,0,False,Computer Science,1,8,17,2.75,6,2,54.5,0.026612199999999975,0.15499999999999992,26,False
KBRK,low,10,red,18.22,70,70,3,0,False,Computer Science,1,19,6,1.4736842105263157,10,9,69.0,0.004691359999999999,0.010000000000000009,7,True
MQZF,low,10,red,18.8,70,70,2,12,False,Computer Science,2,10,15,2.4,7,3,73.1,0.004888599999999999,0.031000000000000028,25,True
MWSH,high,100,red,22.22,70,60,1,0,False,Computer Science,2,8,17,3.625,5,3,53.7,0.029204639999999976,0.16299999999999992,26,False
NDTT,low,10,blue,8.06,70,50,3,0,False,Computer Science,2,11,14,2.4545454545454546,7,4,75.0,0.0031879600000000014,0.050000000000000044,7,True
NTFF,high,100,blue,0.02,70,70,5,0,False,Computer Science,2,4,21,7.0,4,0,57.0,0.01972211999999998,0.13,26,False
PHWR,high,100,red,19.4,70,60,3,0,False,Computer Science,1,9,16,3.2222222222222223,5,4,52.2,0.031277599999999975,0.17799999999999994,26,False
PMMY,low,10,red,18.22,70,70,2,0,False,Computer Science,1,24,1,1.1666666666666667,15,9,69.0,0.004039439999999998,0.010000000000000009,7,True
PQZB,low,10,red,19.06,70,70,2,0,False,Computer Science,1,6,19,1.8333333333333333,6,0,75.0,0.0009824000000000011,0.050000000000000044,3,True
PWHF,high,100,blue,6.13,70,70,3,0,False,Computer Science,1,22,3,1.3181818181818181,19,3,54.2,0.03054363999999998,0.15799999999999992,26,False
PZZH,low,10,blue,10.22,70,70,3,0,False,Computer Science,1,9,16,3.111111111111111,8,1,69.0,0.01719691999999999,0.010000000000000009,16,True
QRSB,high,100,blue,15.0,70,70,1,0,False,Computer Science,1,4,21,5.0,2,2,50.0,0.03917831999999998,0.19999999999999996,26,False
QWCT,high,100,red,28.03,70,70,4,12,False,Computer Science,2,3,22,9.333333333333334,3,0,57.0,0.017673,0.13,26,False
RMKT,low,10,red,17.19,50,50,3,0,False,Business Economics,1,21,4,1.0,13,8,62.2,0.014933599999999991,0.07799999999999996,26,False
SCGH,high,100,blue,8.82,70,70,1,0,False,Computer Science,1,5,20,2.8,4,1,53.0,0.029739879999999972,0.16999999999999993,26,False
SJJF,low,10,blue,4.1,70,70,3,0,False,Computer Science,1,24,1,1.0,20,4,83.2,0.014591440000000004,0.13200000000000012,26,False
SPBY,low,10,red,19.52,70,70,3,6,False,Computer Science,2,9,16,2.7777777777777777,5,4,78.6,0.002029959999999998,0.08599999999999997,26,False
TNPF,high,100,red,24.05,70,70,3,3,True,Computer Science,2,5,20,5.8,4,1,54.7,0.024708319999999978,0.1529999999999999,26,False
TNWM,low,10,blue,10.22,70,70,4,0,False,Computer Science,1,20,5,1.4,10,10,69.0,0.0001084000000000002,0.010000000000000009,1,True
TQKT,low,10,red,19.73,70,70,2,0,False,Computer Science,1,15,10,1.6,12,3,80.2,0.008245240000000001,0.10200000000000009,26,False
WTMR,low,10,red,20.26,70,83,3,0,False,Computer Science,1,10,15,1.9,9,1,84.6,0.012469720000000012,0.14600000000000002,26,False
XXHS,high,100,red,28.03,70,70,4,8,True,Computer Science,1,3,22,9.333333333333334,3,0,57.0,0.024080999999999984,0.13,26,False
XYFF,high,100,red,20.35,70,70,2,3,False,Computer Science,1,21,4,1.380952380952381,12,9,52.7,0.03261503999999998,0.17299999999999993,26,False
