session_id,condition,b_value,true_prob,round,action,shares,price_before,price_after,cost,cash_before,cash_after,q_yes_after,q_no_after,client_ms_on_round,timestamp_utc,draw_outcome,final_cash,session_completed,comprehension_attempts,initial_belief_pct,final_belief_pct,risk_tolerance,trading_experience_months,prediction_market_familiarity,field_of_study
BQQQ,low,10,0.7,1,buy_yes,10,50.0,73.1,6.2,15.0,8.8,10,0,61849,2026-05-06T20:54:13Z,red,17.19,True,1,70,70,4,0,False,Computer Science
BQQQ,low,10,0.7,2,buy_yes,5,73.1,81.8,3.88,8.8,4.92,15,0,18868,2026-05-06T20:54:32Z,red,17.19,True,1,70,70,4,0,False,Computer Science
BQQQ,low,10,0.7,3,buy_no,2,81.8,78.6,0.4,4.92,4.52,15,2,11993,2026-05-06T20:54:44Z,red,17.19,True,1,70,70,4,0,False,Computer Science
BQQQ,low,10,0.7,4,buy_no,5,78.6,69.0,1.3,4.52,3.22,15,7,28540,2026-05-06T20:55:13Z,red,17.19,True,1,70,70,4,0,False,Computer Science
BQQQ,low,10,0.7,5,buy_no,4,69.0,59.9,1.42,3.22,1.8,15,11,17828,2026-05-06T20:55:31Z,red,17.19,True,1,70,70,4,0,False,Computer Science
BQQQ,low,10,0.7,6,buy_yes,2,59.9,64.6,1.24,1.8,0.56,17,11,27573,2026-05-06T20:55:58Z,red,17.19,True,1,70,70,4,0,False,Computer Science
BQQQ,low,10,0.7,7,pass,0,64.6,64.6,0.0,0.56,0.56,17,11,4151,2026-05-06T20:56:02Z,red,17.19,True,1,70,70,4,0,False,Computer Science
BQQQ,low,10,0.7,8,pass,0,64.6,64.6,0.0,0.56,0.56,17,11,527,2026-05-06T20:56:03Z,red,17.19,True,1,70,70,4,0,False,Computer Science
BQQQ,low,10,0.7,9,pass,0,64.6,64.6,0.0,0.56,0.56,17,11,314,2026-05-06T20:56:03Z,red,17.19,True,1,70,70,4,0,False,Computer Science
BQQQ,low,10,0.7,10,pass,0,64.6,64.6,0.0,0.56,0.56,17,11,292,2026-05-06T20:56:04Z,red,17.19,True,1,70,70,4,0,False,Computer Science
BQQQ,low,10,0.7,11,pass,0,64.6,64.6,0.0,0.56,0.56,17,11,300,2026-05-06T20:56:04Z,red,17.19,True,1,70,70,4,0,False,Computer Science
BQQQ,low,10,0.7,12,pass,0,64.6,64.6,0.0,0.56,0.56,17,11,280,2026-05-06T20:56:04Z,red,17.19,True,1,70,70,4,0,False,Computer Science
BQQQ,low,10,0.7,13,pass,0,64.6,64.6,0.0,0.56,0.56,17,11,287,2026-05-06T20:56:04Z,red,17.19,True,1,70,70,4,0,False,Computer Science
BQQQ,low,10,0.7,14,pass,0,64.6,64.6,0.0,0.56,0.56,17,11,303,2026-05-06T20:56:05Z,red,17.19,True,1,70,70,4,0,False,Computer Science
BQQQ,low,10,0.7,15,pass,0,64.6,64.6,0.0,0.56,0.56,17,11,332,2026-05-06T20:56:05Z,red,17.19,True,1,70,70,4,0,False,Computer Science
BQQQ,low,10,0.7,16,pass,0,64.6,64.6,0.0,0.56,0.56,17,11,1173,2026-05-06T20:56:06Z,red,17.19,True,1,70,70,4,0,False,Computer Science
BQQQ,low,10,0.7,17,buy_no,1,64.6,62.2,0.37,0.56,0.19,17,12,9893,2026-05-06T20:56:16Z,red,17.19,True,1,70,70,4,0,False,Computer Science
BQQQ,low,10,0.7,18,pass,0,62.2,62.2,0.0,0.19,0.19,17,12,5622,2026-05-06T20:56:22Z,red,17.19,True,1,70,70,4,0,False,Computer Science
BQQQ,low,10,0.7,19,pass,0,62.2,62.2,0.0,0.19,0.19,17,12,573,2026-05-06T20:56:22Z,red,17.19,True,1,70,70,4,0,False,Computer Science
BQQQ,low,10,0.7,20,pass,0,62.2,62.2,0.0,0.19,0.19,17,12,858,2026-05-06T20:56:23Z,red,17.19,True,1,70,70,4,0,False,Computer Science
BQQQ,low,10,0.7,21,pass,0,62.2,62.2,0.0,0.19,0.19,17,12,807,2026-05-06T20:56:24Z,red,17.19,True,1,70,70,4,0,False,Computer Science
BQQQ,low,10,0.7,22,pass,0,62.2,62.2,0.0,0.19,0.19,17,12,737,2026-05-06T20:56:25Z,red,17.19,True,1,70,70,4,0,False,Computer Science
BQQQ,low,10,0.7,23,pass,0,62.2,62.2,0.0,0.19,0.19,17,12,626,2026-05-06T20:56:25Z,red,17.19,True,1,70,70,4,0,False,Computer Science
BQQQ,low,10,0.7,24,pass,0,62.2,62.2,0.0,0.19,0.19,17,12,740,2026-05-06T20:56:26Z,red,17.19,True,1,70,70,4,0,False,Computer Science
BQQQ,low,10,0.7,25,pass,0,62.2,62.2,0.0,0.19,0.19,17,12,3431,2026-05-06T20:56:30Z,red,17.19,True,1,70,70,4,0,False,Computer Science
