session_id,condition,b_value,true_prob,round,action,shares,price_before,price_after,cost,cash_before,cash_after,q_yes_after,q_no_after,client_ms_on_round,timestamp_utc,draw_outcome,final_cash,session_completed,comprehension_attempts,initial_belief_pct,final_belief_pct,risk_tolerance,trading_experience_months,prediction_market_familiarity,field_of_study
GBNS,low,10,0.7,1,buy_yes,8,50.0,69.0,4.78,15.0,10.22,8,0,68043,2026-05-06T20:58:19Z,red,19.06,True,1,70,40,2,0,False,Computer Science
GBNS,low,10,0.7,2,buy_yes,10,69.0,85.8,7.82,10.22,2.4,18,0,60691,2026-05-06T20:59:20Z,red,19.06,True,1,70,40,2,0,False,Computer Science
GBNS,low,10,0.7,3,buy_no,5,85.8,78.6,0.88,2.4,1.52,18,5,38676,2026-05-06T20:59:59Z,red,19.06,True,1,70,40,2,0,False,Computer Science
GBNS,low,10,0.7,4,buy_yes,1,78.6,80.2,0.79,1.52,0.73,19,5,23555,2026-05-06T21:00:22Z,red,19.06,True,1,70,40,2,0,False,Computer Science
GBNS,low,10,0.7,5,buy_no,3,80.2,75.0,0.67,0.73,0.06,19,8,10830,2026-05-06T21:00:33Z,red,19.06,True,1,70,40,2,0,False,Computer Science
GBNS,low,10,0.7,6,pass,0,75.0,75.0,0.0,0.06,0.06,19,8,1577,2026-05-06T21:00:35Z,red,19.06,True,1,70,40,2,0,False,Computer Science
GBNS,low,10,0.7,7,pass,0,75.0,75.0,0.0,0.06,0.06,19,8,853,2026-05-06T21:00:36Z,red,19.06,True,1,70,40,2,0,False,Computer Science
GBNS,low,10,0.7,8,pass,0,75.0,75.0,0.0,0.06,0.06,19,8,585,2026-05-06T21:00:36Z,red,19.06,True,1,70,40,2,0,False,Computer Science
GBNS,low,10,0.7,9,pass,0,75.0,75.0,0.0,0.06,0.06,19,8,1261,2026-05-06T21:00:37Z,red,19.06,True,1,70,40,2,0,False,Computer Science
GBNS,low,10,0.7,10,pass,0,75.0,75.0,0.0,0.06,0.06,19,8,857,2026-05-06T21:00:38Z,red,19.06,True,1,70,40,2,0,False,Computer Science
GBNS,low,10,0.7,11,pass,0,75.0,75.0,0.0,0.06,0.06,19,8,744,2026-05-06T21:00:39Z,red,19.06,True,1,70,40,2,0,False,Computer Science
GBNS,low,10,0.7,12,pass,0,75.0,75.0,0.0,0.06,0.06,19,8,583,2026-05-06T21:00:40Z,red,19.06,True,1,70,40,2,0,False,Computer Science
GBNS,low,10,0.7,13,pass,0,75.0,75.0,0.0,0.06,0.06,19,8,607,2026-05-06T21:00:40Z,red,19.06,True,1,70,40,2,0,False,Computer Science
GBNS,low,10,0.7,14,pass,0,75.0,75.0,0.0,0.06,0.06,19,8,593,2026-05-06T21:00:41Z,red,19.06,True,1,70,40,2,0,False,Computer Science
GBNS,low,10,0.7,15,pass,0,75.0,75.0,0.0,0.06,0.06,19,8,550,2026-05-06T21:00:41Z,red,19.06,True,1,70,40,2,0,False,Computer Science
GBNS,low,10,0.7,16,pass,0,75.0,75.0,0.0,0.06,0.06,19,8,590,2026-05-06T21:00:42Z,red,19.06,True,1,70,40,2,0,False,Computer Science
GBNS,low,10,0.7,17,pass,0,75.0,75.0,0.0,0.06,0.06,19,8,564,2026-05-06T21:00:43Z,red,19.06,True,1,70,40,2,0,False,Computer Science
GBNS,low,10,0.7,18,pass,0,75.0,75.0,0.0,0.06,0.06,19,8,558,2026-05-06T21:00:43Z,red,19.06,True,1,70,40,2,0,False,Computer Science
GBNS,low,10,0.7,19,pass,0,75.0,75.0,0.0,0.06,0.06,19,8,582,2026-05-06T21:00:44Z,red,19.06,True,1,70,40,2,0,False,Computer Science
GBNS,low,10,0.7,20,pass,0,75.0,75.0,0.0,0.06,0.06,19,8,1123,2026-05-06T21:00:45Z,red,19.06,True,1,70,40,2,0,False,Computer Science
GBNS,low,10,0.7,21,pass,0,75.0,75.0,0.0,0.06,0.06,19,8,668,2026-05-06T21:00:46Z,red,19.06,True,1,70,40,2,0,False,Computer Science
GBNS,low,10,0.7,22,pass,0,75.0,75.0,0.0,0.06,0.06,19,8,599,2026-05-06T21:00:46Z,red,19.06,True,1,70,40,2,0,False,Computer Science
GBNS,low,10,0.7,23,pass,0,75.0,75.0,0.0,0.06,0.06,19,8,568,2026-05-06T21:00:47Z,red,19.06,True,1,70,40,2,0,False,Computer Science
GBNS,low,10,0.7,24,pass,0,75.0,75.0,0.0,0.06,0.06,19,8,750,2026-05-06T21:00:47Z,red,19.06,True,1,70,40,2,0,False,Computer Science
GBNS,low,10,0.7,25,pass,0,75.0,75.0,0.0,0.06,0.06,19,8,647,2026-05-06T21:00:48Z,red,19.06,True,1,70,40,2,0,False,Computer Science
