session_id,condition,b_value,true_prob,round,action,shares,price_before,price_after,cost,cash_before,cash_after,q_yes_after,q_no_after,client_ms_on_round,timestamp_utc,draw_outcome,final_cash,session_completed,comprehension_attempts,initial_belief_pct,final_belief_pct,risk_tolerance,trading_experience_months,prediction_market_familiarity,field_of_study
HCMH,low,10,0.7,1,buy_yes,10,50.0,73.1,6.2,15.0,8.8,10,0,46035,2026-05-06T20:40:15Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
HCMH,low,10,0.7,2,buy_no,5,73.1,62.2,1.61,8.8,7.19,10,5,145332,2026-05-06T20:42:40Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
HCMH,low,10,0.7,3,buy_yes,3,62.2,69.0,1.97,7.19,5.22,13,5,36488,2026-05-06T20:43:17Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
HCMH,low,10,0.7,4,pass,0,69.0,69.0,0.0,5.22,5.22,13,5,14284,2026-05-06T20:43:31Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
HCMH,low,10,0.7,5,pass,0,69.0,69.0,0.0,5.22,5.22,13,5,593,2026-05-06T20:43:31Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
HCMH,low,10,0.7,6,pass,0,69.0,69.0,0.0,5.22,5.22,13,5,469,2026-05-06T20:43:32Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
HCMH,low,10,0.7,7,pass,0,69.0,69.0,0.0,5.22,5.22,13,5,382,2026-05-06T20:43:32Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
HCMH,low,10,0.7,8,pass,0,69.0,69.0,0.0,5.22,5.22,13,5,318,2026-05-06T20:43:33Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
HCMH,low,10,0.7,9,pass,0,69.0,69.0,0.0,5.22,5.22,13,5,292,2026-05-06T20:43:33Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
HCMH,low,10,0.7,10,pass,0,69.0,69.0,0.0,5.22,5.22,13,5,308,2026-05-06T20:43:33Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
HCMH,low,10,0.7,11,pass,0,69.0,69.0,0.0,5.22,5.22,13,5,305,2026-05-06T20:43:34Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
HCMH,low,10,0.7,12,pass,0,69.0,69.0,0.0,5.22,5.22,13,5,333,2026-05-06T20:43:34Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
HCMH,low,10,0.7,13,pass,0,69.0,69.0,0.0,5.22,5.22,13,5,333,2026-05-06T20:43:34Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
HCMH,low,10,0.7,14,pass,0,69.0,69.0,0.0,5.22,5.22,13,5,333,2026-05-06T20:43:35Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
HCMH,low,10,0.7,15,pass,0,69.0,69.0,0.0,5.22,5.22,13,5,343,2026-05-06T20:43:35Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
HCMH,low,10,0.7,16,pass,0,69.0,69.0,0.0,5.22,5.22,13,5,343,2026-05-06T20:43:35Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
HCMH,low,10,0.7,17,pass,0,69.0,69.0,0.0,5.22,5.22,13,5,353,2026-05-06T20:43:36Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
HCMH,low,10,0.7,18,pass,0,69.0,69.0,0.0,5.22,5.22,13,5,345,2026-05-06T20:43:36Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
HCMH,low,10,0.7,19,pass,0,69.0,69.0,0.0,5.22,5.22,13,5,342,2026-05-06T20:43:36Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
HCMH,low,10,0.7,20,pass,0,69.0,69.0,0.0,5.22,5.22,13,5,337,2026-05-06T20:43:37Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
HCMH,low,10,0.7,21,pass,0,69.0,69.0,0.0,5.22,5.22,13,5,419,2026-05-06T20:43:37Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
HCMH,low,10,0.7,22,pass,0,69.0,69.0,0.0,5.22,5.22,13,5,465,2026-05-06T20:43:38Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
HCMH,low,10,0.7,23,pass,0,69.0,69.0,0.0,5.22,5.22,13,5,571,2026-05-06T20:43:38Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
HCMH,low,10,0.7,24,pass,0,69.0,69.0,0.0,5.22,5.22,13,5,701,2026-05-06T20:43:39Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
HCMH,low,10,0.7,25,pass,0,69.0,69.0,0.0,5.22,5.22,13,5,929,2026-05-06T20:43:40Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
