session_id,condition,b_value,true_prob,round,action,shares,price_before,price_after,cost,cash_before,cash_after,q_yes_after,q_no_after,client_ms_on_round,timestamp_utc,draw_outcome,final_cash,session_completed,comprehension_attempts,initial_belief_pct,final_belief_pct,risk_tolerance,trading_experience_months,prediction_market_familiarity,field_of_study
MWSH,high,100,0.7,1,buy_yes,3,50.0,50.7,1.51,15.0,13.49,3,0,43529,2026-05-06T20:24:18Z,red,22.22,True,2,70,60,1,0,False,Computer Science
MWSH,high,100,0.7,2,buy_no,1,50.7,50.5,0.49,13.49,13.0,3,1,34268,2026-05-06T20:24:52Z,red,22.22,True,2,70,60,1,0,False,Computer Science
MWSH,high,100,0.7,3,buy_yes,3,50.5,51.2,1.53,13.0,11.47,6,1,21085,2026-05-06T20:25:13Z,red,22.22,True,2,70,60,1,0,False,Computer Science
MWSH,high,100,0.7,4,buy_yes,3,51.2,52.0,1.55,11.47,9.92,9,1,26607,2026-05-06T20:25:40Z,red,22.22,True,2,70,60,1,0,False,Computer Science
MWSH,high,100,0.7,5,pass,0,52.0,52.0,0.0,9.92,9.92,9,1,10065,2026-05-06T20:25:50Z,red,22.22,True,2,70,60,1,0,False,Computer Science
MWSH,high,100,0.7,6,buy_no,4,52.0,51.0,1.94,9.92,7.98,9,5,11934,2026-05-06T20:26:02Z,red,22.22,True,2,70,60,1,0,False,Computer Science
MWSH,high,100,0.7,7,buy_no,2,51.0,50.5,0.99,7.98,6.99,9,7,15289,2026-05-06T20:26:17Z,red,22.22,True,2,70,60,1,0,False,Computer Science
MWSH,high,100,0.7,8,buy_yes,10,50.5,53.0,5.17,6.99,1.82,19,7,9031,2026-05-06T20:26:26Z,red,22.22,True,2,70,60,1,0,False,Computer Science
MWSH,high,100,0.7,9,buy_yes,3,53.0,53.7,1.6,1.82,0.22,22,7,12468,2026-05-06T20:26:39Z,red,22.22,True,2,70,60,1,0,False,Computer Science
MWSH,high,100,0.7,10,pass,0,53.7,53.7,0.0,0.22,0.22,22,7,2586,2026-05-06T20:26:41Z,red,22.22,True,2,70,60,1,0,False,Computer Science
MWSH,high,100,0.7,11,pass,0,53.7,53.7,0.0,0.22,0.22,22,7,694,2026-05-06T20:26:42Z,red,22.22,True,2,70,60,1,0,False,Computer Science
MWSH,high,100,0.7,12,pass,0,53.7,53.7,0.0,0.22,0.22,22,7,642,2026-05-06T20:26:43Z,red,22.22,True,2,70,60,1,0,False,Computer Science
MWSH,high,100,0.7,13,pass,0,53.7,53.7,0.0,0.22,0.22,22,7,612,2026-05-06T20:26:43Z,red,22.22,True,2,70,60,1,0,False,Computer Science
MWSH,high,100,0.7,14,pass,0,53.7,53.7,0.0,0.22,0.22,22,7,552,2026-05-06T20:26:44Z,red,22.22,True,2,70,60,1,0,False,Computer Science
MWSH,high,100,0.7,15,pass,0,53.7,53.7,0.0,0.22,0.22,22,7,592,2026-05-06T20:26:45Z,red,22.22,True,2,70,60,1,0,False,Computer Science
MWSH,high,100,0.7,16,pass,0,53.7,53.7,0.0,0.22,0.22,22,7,576,2026-05-06T20:26:45Z,red,22.22,True,2,70,60,1,0,False,Computer Science
MWSH,high,100,0.7,17,pass,0,53.7,53.7,0.0,0.22,0.22,22,7,633,2026-05-06T20:26:46Z,red,22.22,True,2,70,60,1,0,False,Computer Science
MWSH,high,100,0.7,18,pass,0,53.7,53.7,0.0,0.22,0.22,22,7,902,2026-05-06T20:26:47Z,red,22.22,True,2,70,60,1,0,False,Computer Science
MWSH,high,100,0.7,19,pass,0,53.7,53.7,0.0,0.22,0.22,22,7,1218,2026-05-06T20:26:48Z,red,22.22,True,2,70,60,1,0,False,Computer Science
MWSH,high,100,0.7,20,pass,0,53.7,53.7,0.0,0.22,0.22,22,7,635,2026-05-06T20:26:49Z,red,22.22,True,2,70,60,1,0,False,Computer Science
MWSH,high,100,0.7,21,pass,0,53.7,53.7,0.0,0.22,0.22,22,7,610,2026-05-06T20:26:49Z,red,22.22,True,2,70,60,1,0,False,Computer Science
MWSH,high,100,0.7,22,pass,0,53.7,53.7,0.0,0.22,0.22,22,7,610,2026-05-06T20:26:50Z,red,22.22,True,2,70,60,1,0,False,Computer Science
MWSH,high,100,0.7,23,pass,0,53.7,53.7,0.0,0.22,0.22,22,7,607,2026-05-06T20:26:50Z,red,22.22,True,2,70,60,1,0,False,Computer Science
MWSH,high,100,0.7,24,pass,0,53.7,53.7,0.0,0.22,0.22,22,7,1034,2026-05-06T20:26:52Z,red,22.22,True,2,70,60,1,0,False,Computer Science
MWSH,high,100,0.7,25,pass,0,53.7,53.7,0.0,0.22,0.22,22,7,745,2026-05-06T20:26:52Z,red,22.22,True,2,70,60,1,0,False,Computer Science
