session_id,condition,b_value,true_prob,round,action,shares,price_before,price_after,cost,cash_before,cash_after,q_yes_after,q_no_after,client_ms_on_round,timestamp_utc,draw_outcome,final_cash,session_completed,comprehension_attempts,initial_belief_pct,final_belief_pct,risk_tolerance,trading_experience_months,prediction_market_familiarity,field_of_study
PZZH,low,10,0.7,1,buy_no,10,50.0,26.9,6.2,15.0,8.8,0,10,29248,2026-05-06T20:03:13Z,blue,10.22,True,1,70,70,3,0,False,Computer Science
PZZH,low,10,0.7,2,buy_yes,10,26.9,50.0,3.8,8.8,5.0,10,10,6424,2026-05-06T20:03:19Z,blue,10.22,True,1,70,70,3,0,False,Computer Science
PZZH,low,10,0.7,3,buy_yes,2,50.0,55.0,1.05,5.0,3.95,12,10,3656,2026-05-06T20:03:23Z,blue,10.22,True,1,70,70,3,0,False,Computer Science
PZZH,low,10,0.7,4,pass,0,55.0,55.0,0.0,3.95,3.95,12,10,1403,2026-05-06T20:03:24Z,blue,10.22,True,1,70,70,3,0,False,Computer Science
PZZH,low,10,0.7,5,pass,0,55.0,55.0,0.0,3.95,3.95,12,10,811,2026-05-06T20:03:25Z,blue,10.22,True,1,70,70,3,0,False,Computer Science
PZZH,low,10,0.7,6,pass,0,55.0,55.0,0.0,3.95,3.95,12,10,678,2026-05-06T20:03:26Z,blue,10.22,True,1,70,70,3,0,False,Computer Science
PZZH,low,10,0.7,7,pass,0,55.0,55.0,0.0,3.95,3.95,12,10,586,2026-05-06T20:03:26Z,blue,10.22,True,1,70,70,3,0,False,Computer Science
PZZH,low,10,0.7,8,pass,0,55.0,55.0,0.0,3.95,3.95,12,10,943,2026-05-06T20:03:27Z,blue,10.22,True,1,70,70,3,0,False,Computer Science
PZZH,low,10,0.7,9,buy_yes,1,55.0,57.4,0.56,3.95,3.39,13,10,2387,2026-05-06T20:03:30Z,blue,10.22,True,1,70,70,3,0,False,Computer Science
PZZH,low,10,0.7,10,pass,0,57.4,57.4,0.0,3.39,3.39,13,10,1119,2026-05-06T20:03:31Z,blue,10.22,True,1,70,70,3,0,False,Computer Science
PZZH,low,10,0.7,11,buy_yes,1,57.4,59.9,0.59,3.39,2.8,14,10,2109,2026-05-06T20:03:33Z,blue,10.22,True,1,70,70,3,0,False,Computer Science
PZZH,low,10,0.7,12,pass,0,59.9,59.9,0.0,2.8,2.8,14,10,1519,2026-05-06T20:03:35Z,blue,10.22,True,1,70,70,3,0,False,Computer Science
PZZH,low,10,0.7,13,buy_yes,1,59.9,62.2,0.61,2.8,2.19,15,10,1178,2026-05-06T20:03:36Z,blue,10.22,True,1,70,70,3,0,False,Computer Science
PZZH,low,10,0.7,14,pass,0,62.2,62.2,0.0,2.19,2.19,15,10,919,2026-05-06T20:03:37Z,blue,10.22,True,1,70,70,3,0,False,Computer Science
PZZH,low,10,0.7,15,buy_yes,1,62.2,64.6,0.63,2.19,1.56,16,10,1262,2026-05-06T20:03:38Z,blue,10.22,True,1,70,70,3,0,False,Computer Science
PZZH,low,10,0.7,16,buy_yes,1,64.6,66.8,0.66,1.56,0.9,17,10,2100,2026-05-06T20:03:40Z,blue,10.22,True,1,70,70,3,0,False,Computer Science
PZZH,low,10,0.7,17,buy_yes,1,66.8,69.0,0.68,0.9,0.22,18,10,1719,2026-05-06T20:03:42Z,blue,10.22,True,1,70,70,3,0,False,Computer Science
PZZH,low,10,0.7,18,pass,0,69.0,69.0,0.0,0.22,0.22,18,10,2576,2026-05-06T20:03:44Z,blue,10.22,True,1,70,70,3,0,False,Computer Science
PZZH,low,10,0.7,19,pass,0,69.0,69.0,0.0,0.22,0.22,18,10,20750,2026-05-06T20:04:05Z,blue,10.22,True,1,70,70,3,0,False,Computer Science
PZZH,low,10,0.7,20,pass,0,69.0,69.0,0.0,0.22,0.22,18,10,2255,2026-05-06T20:04:08Z,blue,10.22,True,1,70,70,3,0,False,Computer Science
PZZH,low,10,0.7,21,pass,0,69.0,69.0,0.0,0.22,0.22,18,10,812,2026-05-06T20:04:08Z,blue,10.22,True,1,70,70,3,0,False,Computer Science
PZZH,low,10,0.7,22,pass,0,69.0,69.0,0.0,0.22,0.22,18,10,653,2026-05-06T20:04:09Z,blue,10.22,True,1,70,70,3,0,False,Computer Science
PZZH,low,10,0.7,23,pass,0,69.0,69.0,0.0,0.22,0.22,18,10,779,2026-05-06T20:04:10Z,blue,10.22,True,1,70,70,3,0,False,Computer Science
PZZH,low,10,0.7,24,pass,0,69.0,69.0,0.0,0.22,0.22,18,10,745,2026-05-06T20:04:11Z,blue,10.22,True,1,70,70,3,0,False,Computer Science
PZZH,low,10,0.7,25,pass,0,69.0,69.0,0.0,0.22,0.22,18,10,1953,2026-05-06T20:04:13Z,blue,10.22,True,1,70,70,3,0,False,Computer Science
