session_id,condition,b_value,true_prob,round,action,shares,price_before,price_after,cost,cash_before,cash_after,q_yes_after,q_no_after,client_ms_on_round,timestamp_utc,draw_outcome,final_cash,session_completed,comprehension_attempts,initial_belief_pct,final_belief_pct,risk_tolerance,trading_experience_months,prediction_market_familiarity,field_of_study
QCGT,high,100,0.7,1,buy_yes,10,50.0,52.5,5.12,15.0,9.88,10,0,12768,2026-05-07T04:18:15Z,red,28.03,True,3,70,70,5,0,False,Business
QCGT,high,100,0.7,2,buy_yes,10,52.5,55.0,5.37,9.88,4.51,20,0,3110,2026-05-07T04:18:18Z,red,28.03,True,3,70,70,5,0,False,Business
QCGT,high,100,0.7,3,buy_yes,8,55.0,57.0,4.48,4.51,0.03,28,0,3394,2026-05-07T04:18:21Z,red,28.03,True,3,70,70,5,0,False,Business
QCGT,high,100,0.7,4,pass,0,57.0,57.0,0.0,0.03,0.03,28,0,1461,2026-05-07T04:18:23Z,red,28.03,True,3,70,70,5,0,False,Business
QCGT,high,100,0.7,5,pass,0,57.0,57.0,0.0,0.03,0.03,28,0,618,2026-05-07T04:18:23Z,red,28.03,True,3,70,70,5,0,False,Business
QCGT,high,100,0.7,6,pass,0,57.0,57.0,0.0,0.03,0.03,28,0,503,2026-05-07T04:18:24Z,red,28.03,True,3,70,70,5,0,False,Business
QCGT,high,100,0.7,7,pass,0,57.0,57.0,0.0,0.03,0.03,28,0,528,2026-05-07T04:18:24Z,red,28.03,True,3,70,70,5,0,False,Business
QCGT,high,100,0.7,8,pass,0,57.0,57.0,0.0,0.03,0.03,28,0,852,2026-05-07T04:18:25Z,red,28.03,True,3,70,70,5,0,False,Business
QCGT,high,100,0.7,9,pass,0,57.0,57.0,0.0,0.03,0.03,28,0,2134,2026-05-07T04:18:27Z,red,28.03,True,3,70,70,5,0,False,Business
QCGT,high,100,0.7,10,pass,0,57.0,57.0,0.0,0.03,0.03,28,0,1003,2026-05-07T04:18:28Z,red,28.03,True,3,70,70,5,0,False,Business
QCGT,high,100,0.7,11,pass,0,57.0,57.0,0.0,0.03,0.03,28,0,595,2026-05-07T04:18:29Z,red,28.03,True,3,70,70,5,0,False,Business
QCGT,high,100,0.7,12,pass,0,57.0,57.0,0.0,0.03,0.03,28,0,994,2026-05-07T04:18:30Z,red,28.03,True,3,70,70,5,0,False,Business
QCGT,high,100,0.7,13,pass,0,57.0,57.0,0.0,0.03,0.03,28,0,584,2026-05-07T04:18:30Z,red,28.03,True,3,70,70,5,0,False,Business
QCGT,high,100,0.7,14,pass,0,57.0,57.0,0.0,0.03,0.03,28,0,561,2026-05-07T04:18:31Z,red,28.03,True,3,70,70,5,0,False,Business
QCGT,high,100,0.7,15,pass,0,57.0,57.0,0.0,0.03,0.03,28,0,517,2026-05-07T04:18:32Z,red,28.03,True,3,70,70,5,0,False,Business
QCGT,high,100,0.7,16,pass,0,57.0,57.0,0.0,0.03,0.03,28,0,569,2026-05-07T04:18:32Z,red,28.03,True,3,70,70,5,0,False,Business
QCGT,high,100,0.7,17,pass,0,57.0,57.0,0.0,0.03,0.03,28,0,586,2026-05-07T04:18:33Z,red,28.03,True,3,70,70,5,0,False,Business
QCGT,high,100,0.7,18,pass,0,57.0,57.0,0.0,0.03,0.03,28,0,566,2026-05-07T04:18:33Z,red,28.03,True,3,70,70,5,0,False,Business
QCGT,high,100,0.7,19,pass,0,57.0,57.0,0.0,0.03,0.03,28,0,595,2026-05-07T04:18:34Z,red,28.03,True,3,70,70,5,0,False,Business
QCGT,high,100,0.7,20,pass,0,57.0,57.0,0.0,0.03,0.03,28,0,586,2026-05-07T04:18:34Z,red,28.03,True,3,70,70,5,0,False,Business
QCGT,high,100,0.7,21,pass,0,57.0,57.0,0.0,0.03,0.03,28,0,544,2026-05-07T04:18:35Z,red,28.03,True,3,70,70,5,0,False,Business
QCGT,high,100,0.7,22,pass,0,57.0,57.0,0.0,0.03,0.03,28,0,1368,2026-05-07T04:18:36Z,red,28.03,True,3,70,70,5,0,False,Business
QCGT,high,100,0.7,23,pass,0,57.0,57.0,0.0,0.03,0.03,28,0,529,2026-05-07T04:18:37Z,red,28.03,True,3,70,70,5,0,False,Business
QCGT,high,100,0.7,24,pass,0,57.0,57.0,0.0,0.03,0.03,28,0,551,2026-05-07T04:18:37Z,red,28.03,True,3,70,70,5,0,False,Business
QCGT,high,100,0.7,25,pass,0,57.0,57.0,0.0,0.03,0.03,28,0,624,2026-05-07T04:18:38Z,red,28.03,True,3,70,70,5,0,False,Business
