session_id,condition,b_value,true_prob,round,action,shares,price_before,price_after,cost,cash_before,cash_after,q_yes_after,q_no_after,client_ms_on_round,timestamp_utc,draw_outcome,final_cash,session_completed,comprehension_attempts,initial_belief_pct,final_belief_pct,risk_tolerance,trading_experience_months,prediction_market_familiarity,field_of_study
TNWM,low,10,0.7,1,buy_yes,9,50.0,71.1,5.48,15.0,9.52,9,0,8114,2026-05-06T20:01:04Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
TNWM,low,10,0.7,2,buy_no,1,71.1,69.0,0.3,9.52,9.22,9,1,1845,2026-05-06T20:01:06Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
TNWM,low,10,0.7,3,buy_yes,1,69.0,71.1,0.7,9.22,8.52,10,1,1366,2026-05-06T20:01:07Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
TNWM,low,10,0.7,4,buy_no,1,71.1,69.0,0.3,8.52,8.22,10,2,1079,2026-05-06T20:01:09Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
TNWM,low,10,0.7,5,buy_yes,1,69.0,71.1,0.7,8.22,7.52,11,2,1251,2026-05-06T20:01:10Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
TNWM,low,10,0.7,6,buy_no,1,71.1,69.0,0.3,7.52,7.22,11,3,1105,2026-05-06T20:01:11Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
TNWM,low,10,0.7,7,buy_yes,1,69.0,71.1,0.7,7.22,6.52,12,3,1152,2026-05-06T20:01:12Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
TNWM,low,10,0.7,8,buy_no,1,71.1,69.0,0.3,6.52,6.22,12,4,1095,2026-05-06T20:01:13Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
TNWM,low,10,0.7,9,buy_yes,1,69.0,71.1,0.7,6.22,5.52,13,4,992,2026-05-06T20:01:14Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
TNWM,low,10,0.7,10,buy_no,1,71.1,69.0,0.3,5.52,5.22,13,5,1134,2026-05-06T20:01:15Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
TNWM,low,10,0.7,11,buy_yes,1,69.0,71.1,0.7,5.22,4.52,14,5,1149,2026-05-06T20:01:17Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
TNWM,low,10,0.7,12,buy_no,1,71.1,69.0,0.3,4.52,4.22,14,6,1067,2026-05-06T20:01:18Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
TNWM,low,10,0.7,13,buy_yes,1,69.0,71.1,0.7,4.22,3.52,15,6,1138,2026-05-06T20:01:19Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
TNWM,low,10,0.7,14,buy_no,1,71.1,69.0,0.3,3.52,3.22,15,7,1179,2026-05-06T20:01:20Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
TNWM,low,10,0.7,15,buy_yes,1,69.0,71.1,0.7,3.22,2.52,16,7,1305,2026-05-06T20:01:21Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
TNWM,low,10,0.7,16,buy_no,1,71.1,69.0,0.3,2.52,2.22,16,8,1177,2026-05-06T20:01:22Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
TNWM,low,10,0.7,17,buy_yes,1,69.0,71.1,0.7,2.22,1.52,17,8,1029,2026-05-06T20:01:23Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
TNWM,low,10,0.7,18,buy_no,1,71.1,69.0,0.3,1.52,1.22,17,9,1007,2026-05-06T20:01:24Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
TNWM,low,10,0.7,19,buy_yes,1,69.0,71.1,0.7,1.22,0.52,18,9,1300,2026-05-06T20:01:26Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
TNWM,low,10,0.7,20,buy_no,1,71.1,69.0,0.3,0.52,0.22,18,10,1667,2026-05-06T20:01:27Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
TNWM,low,10,0.7,21,pass,0,69.0,69.0,0.0,0.22,0.22,18,10,2955,2026-05-06T20:01:30Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
TNWM,low,10,0.7,22,pass,0,69.0,69.0,0.0,0.22,0.22,18,10,1475,2026-05-06T20:01:32Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
TNWM,low,10,0.7,23,pass,0,69.0,69.0,0.0,0.22,0.22,18,10,1003,2026-05-06T20:01:33Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
TNWM,low,10,0.7,24,pass,0,69.0,69.0,0.0,0.22,0.22,18,10,921,2026-05-06T20:01:34Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
TNWM,low,10,0.7,25,pass,0,69.0,69.0,0.0,0.22,0.22,18,10,1097,2026-05-06T20:01:35Z,blue,10.22,True,1,70,70,4,0,False,Computer Science
