session_id,condition,b_value,true_prob,round,action,shares,price_before,price_after,cost,cash_before,cash_after,q_yes_after,q_no_after,client_ms_on_round,timestamp_utc,draw_outcome,final_cash,session_completed,comprehension_attempts,initial_belief_pct,final_belief_pct,risk_tolerance,trading_experience_months,prediction_market_familiarity,field_of_study
TQKT,low,10,0.7,1,buy_yes,1,50.0,52.5,0.51,15.0,14.49,1,0,98952,2026-05-06T20:08:33Z,red,19.73,True,1,70,70,2,0,False,Computer Science
TQKT,low,10,0.7,2,buy_yes,1,52.5,55.0,0.54,14.49,13.95,2,0,3640,2026-05-06T20:08:37Z,red,19.73,True,1,70,70,2,0,False,Computer Science
TQKT,low,10,0.7,3,buy_yes,1,55.0,57.4,0.56,13.95,13.39,3,0,1009,2026-05-06T20:08:38Z,red,19.73,True,1,70,70,2,0,False,Computer Science
TQKT,low,10,0.7,4,buy_yes,1,57.4,59.9,0.59,13.39,12.8,4,0,1427,2026-05-06T20:08:40Z,red,19.73,True,1,70,70,2,0,False,Computer Science
TQKT,low,10,0.7,5,buy_yes,1,59.9,62.2,0.61,12.8,12.19,5,0,1140,2026-05-06T20:08:41Z,red,19.73,True,1,70,70,2,0,False,Computer Science
TQKT,low,10,0.7,6,buy_no,1,62.2,59.9,0.39,12.19,11.8,5,1,2324,2026-05-06T20:08:43Z,red,19.73,True,1,70,70,2,0,False,Computer Science
TQKT,low,10,0.7,7,pass,0,59.9,59.9,0.0,11.8,11.8,5,1,1627,2026-05-06T20:08:45Z,red,19.73,True,1,70,70,2,0,False,Computer Science
TQKT,low,10,0.7,8,pass,0,59.9,59.9,0.0,11.8,11.8,5,1,1259,2026-05-06T20:08:46Z,red,19.73,True,1,70,70,2,0,False,Computer Science
TQKT,low,10,0.7,9,buy_yes,1,59.9,62.2,0.61,11.8,11.19,6,1,1648,2026-05-06T20:08:48Z,red,19.73,True,1,70,70,2,0,False,Computer Science
TQKT,low,10,0.7,10,buy_yes,1,62.2,64.6,0.63,11.19,10.56,7,1,2411,2026-05-06T20:08:50Z,red,19.73,True,1,70,70,2,0,False,Computer Science
TQKT,low,10,0.7,11,buy_no,1,64.6,62.2,0.37,10.56,10.19,7,2,1232,2026-05-06T20:08:51Z,red,19.73,True,1,70,70,2,0,False,Computer Science
TQKT,low,10,0.7,12,pass,0,62.2,62.2,0.0,10.19,10.19,7,2,976,2026-05-06T20:08:52Z,red,19.73,True,1,70,70,2,0,False,Computer Science
TQKT,low,10,0.7,13,pass,0,62.2,62.2,0.0,10.19,10.19,7,2,887,2026-05-06T20:08:53Z,red,19.73,True,1,70,70,2,0,False,Computer Science
TQKT,low,10,0.7,14,buy_yes,1,62.2,64.6,0.63,10.19,9.56,8,2,1285,2026-05-06T20:08:54Z,red,19.73,True,1,70,70,2,0,False,Computer Science
TQKT,low,10,0.7,15,buy_yes,1,64.6,66.8,0.66,9.56,8.9,9,2,1331,2026-05-06T20:08:56Z,red,19.73,True,1,70,70,2,0,False,Computer Science
TQKT,low,10,0.7,16,pass,0,66.8,66.8,0.0,8.9,8.9,9,2,1368,2026-05-06T20:08:57Z,red,19.73,True,1,70,70,2,0,False,Computer Science
TQKT,low,10,0.7,17,pass,0,66.8,66.8,0.0,8.9,8.9,9,2,670,2026-05-06T20:08:58Z,red,19.73,True,1,70,70,2,0,False,Computer Science
TQKT,low,10,0.7,18,buy_yes,1,66.8,69.0,0.68,8.9,8.22,10,2,1178,2026-05-06T20:08:59Z,red,19.73,True,1,70,70,2,0,False,Computer Science
TQKT,low,10,0.7,19,buy_yes,4,69.0,76.9,2.92,8.22,5.3,14,2,2696,2026-05-06T20:09:02Z,red,19.73,True,1,70,70,2,0,False,Computer Science
TQKT,low,10,0.7,20,buy_no,3,76.9,71.1,0.78,5.3,4.52,14,5,5256,2026-05-06T20:09:07Z,red,19.73,True,1,70,70,2,0,False,Computer Science
TQKT,low,10,0.7,21,buy_yes,5,71.1,80.2,3.79,4.52,0.73,19,5,4247,2026-05-06T20:09:11Z,red,19.73,True,1,70,70,2,0,False,Computer Science
TQKT,low,10,0.7,22,pass,0,80.2,80.2,0.0,0.73,0.73,19,5,4339,2026-05-06T20:09:16Z,red,19.73,True,1,70,70,2,0,False,Computer Science
TQKT,low,10,0.7,23,pass,0,80.2,80.2,0.0,0.73,0.73,19,5,1080,2026-05-06T20:09:17Z,red,19.73,True,1,70,70,2,0,False,Computer Science
TQKT,low,10,0.7,24,pass,0,80.2,80.2,0.0,0.73,0.73,19,5,1116,2026-05-06T20:09:18Z,red,19.73,True,1,70,70,2,0,False,Computer Science
TQKT,low,10,0.7,25,pass,0,80.2,80.2,0.0,0.73,0.73,19,5,931,2026-05-06T20:09:19Z,red,19.73,True,1,70,70,2,0,False,Computer Science
