session_id,condition,b_value,true_prob,round,action,shares,price_before,price_after,cost,cash_before,cash_after,q_yes_after,q_no_after,client_ms_on_round,timestamp_utc,draw_outcome,final_cash,session_completed,comprehension_attempts,initial_belief_pct,final_belief_pct,risk_tolerance,trading_experience_months,prediction_market_familiarity,field_of_study
TYGF,low,10,0.7,1,buy_yes,10,50.0,73.1,6.2,15.0,8.8,10,0,28923,2026-05-07T16:12:57Z,blue,0.66,True,2,70,70,5,0,False,Computer Science
TYGF,low,10,0.7,2,buy_yes,10,73.1,88.1,8.14,8.8,0.66,20,0,3227,2026-05-07T16:13:00Z,blue,0.66,True,2,70,70,5,0,False,Computer Science
TYGF,low,10,0.7,3,pass,0,88.1,88.1,0.0,0.66,0.66,20,0,4703,2026-05-07T16:13:05Z,blue,0.66,True,2,70,70,5,0,False,Computer Science
TYGF,low,10,0.7,4,pass,0,88.1,88.1,0.0,0.66,0.66,20,0,1370,2026-05-07T16:13:06Z,blue,0.66,True,2,70,70,5,0,False,Computer Science
TYGF,low,10,0.7,5,pass,0,88.1,88.1,0.0,0.66,0.66,20,0,660,2026-05-07T16:13:07Z,blue,0.66,True,2,70,70,5,0,False,Computer Science
TYGF,low,10,0.7,6,pass,0,88.1,88.1,0.0,0.66,0.66,20,0,659,2026-05-07T16:13:07Z,blue,0.66,True,2,70,70,5,0,False,Computer Science
TYGF,low,10,0.7,7,pass,0,88.1,88.1,0.0,0.66,0.66,20,0,634,2026-05-07T16:13:08Z,blue,0.66,True,2,70,70,5,0,False,Computer Science
TYGF,low,10,0.7,8,pass,0,88.1,88.1,0.0,0.66,0.66,20,0,712,2026-05-07T16:13:09Z,blue,0.66,True,2,70,70,5,0,False,Computer Science
TYGF,low,10,0.7,9,pass,0,88.1,88.1,0.0,0.66,0.66,20,0,636,2026-05-07T16:13:09Z,blue,0.66,True,2,70,70,5,0,False,Computer Science
TYGF,low,10,0.7,10,pass,0,88.1,88.1,0.0,0.66,0.66,20,0,685,2026-05-07T16:13:10Z,blue,0.66,True,2,70,70,5,0,False,Computer Science
TYGF,low,10,0.7,11,pass,0,88.1,88.1,0.0,0.66,0.66,20,0,662,2026-05-07T16:13:11Z,blue,0.66,True,2,70,70,5,0,False,Computer Science
TYGF,low,10,0.7,12,pass,0,88.1,88.1,0.0,0.66,0.66,20,0,613,2026-05-07T16:13:11Z,blue,0.66,True,2,70,70,5,0,False,Computer Science
TYGF,low,10,0.7,13,pass,0,88.1,88.1,0.0,0.66,0.66,20,0,656,2026-05-07T16:13:12Z,blue,0.66,True,2,70,70,5,0,False,Computer Science
TYGF,low,10,0.7,14,pass,0,88.1,88.1,0.0,0.66,0.66,20,0,719,2026-05-07T16:13:13Z,blue,0.66,True,2,70,70,5,0,False,Computer Science
TYGF,low,10,0.7,15,pass,0,88.1,88.1,0.0,0.66,0.66,20,0,712,2026-05-07T16:13:14Z,blue,0.66,True,2,70,70,5,0,False,Computer Science
TYGF,low,10,0.7,16,pass,0,88.1,88.1,0.0,0.66,0.66,20,0,711,2026-05-07T16:13:14Z,blue,0.66,True,2,70,70,5,0,False,Computer Science
TYGF,low,10,0.7,17,pass,0,88.1,88.1,0.0,0.66,0.66,20,0,737,2026-05-07T16:13:15Z,blue,0.66,True,2,70,70,5,0,False,Computer Science
TYGF,low,10,0.7,18,pass,0,88.1,88.1,0.0,0.66,0.66,20,0,870,2026-05-07T16:13:16Z,blue,0.66,True,2,70,70,5,0,False,Computer Science
TYGF,low,10,0.7,19,pass,0,88.1,88.1,0.0,0.66,0.66,20,0,920,2026-05-07T16:13:17Z,blue,0.66,True,2,70,70,5,0,False,Computer Science
TYGF,low,10,0.7,20,pass,0,88.1,88.1,0.0,0.66,0.66,20,0,1060,2026-05-07T16:13:18Z,blue,0.66,True,2,70,70,5,0,False,Computer Science
TYGF,low,10,0.7,21,pass,0,88.1,88.1,0.0,0.66,0.66,20,0,868,2026-05-07T16:13:19Z,blue,0.66,True,2,70,70,5,0,False,Computer Science
TYGF,low,10,0.7,22,pass,0,88.1,88.1,0.0,0.66,0.66,20,0,853,2026-05-07T16:13:20Z,blue,0.66,True,2,70,70,5,0,False,Computer Science
TYGF,low,10,0.7,23,pass,0,88.1,88.1,0.0,0.66,0.66,20,0,561,2026-05-07T16:13:20Z,blue,0.66,True,2,70,70,5,0,False,Computer Science
TYGF,low,10,0.7,24,pass,0,88.1,88.1,0.0,0.66,0.66,20,0,628,2026-05-07T16:13:21Z,blue,0.66,True,2,70,70,5,0,False,Computer Science
TYGF,low,10,0.7,25,pass,0,88.1,88.1,0.0,0.66,0.66,20,0,829,2026-05-07T16:13:22Z,blue,0.66,True,2,70,70,5,0,False,Computer Science
